,ChainName,StoreId,BikoretNo,StoreType,StoreName,Address,City
0,אושר עד,1,6,1,מגדל העמק,האיצטדיון 11,מגדל העמק
1,אושר עד,3,4,1,גבעת שאול,בית הדפוס 29,ירושלים
2,אושר עד,5,2,1,קרית ביאליק,"הנס מולר 6, צור שלום",קרית ביאליק
3,אושר עד,6,1,1,כנות,אדום 24 פארק התעשיות כנות,כנות
4,אושר עד,9,8,1,אשדוד,בעלי המלאכה 4,אשדוד
5,אושר עד,10,4,1,פתח תקווה - סגולה,בן ציון גליס 30,פתח תקווה
6,אושר עד,11,3,1,בני ברק,הקישון 11,בני ברק
7,אושר עד,13,1,1,באר שבע,הקוצר 15 אזור תעשיה עמק שרה,באר שבע
8,אושר עד,14,0,1,חדרה,"המסגר 22 אזה""ת הצפוני",חדרה
9,אושר עד,15,9,1,נוף הגליל-נצרת,גלבוע 1,נצרת עילית
10,אושר עד,16,8,1,בית שמש - גליל,מורדי הגיטאות 6,בית שמש
11,אושר עד,20,1,1,לוד,בת שבע 1 מתחם טלרד,לוד
12,אושר עד,22,9,1,אשקלון בת הדר,בת הדר,אשקלון בת הדר
13,אושר עד,24,7,1,תל אביב,קרמינצקי 3,תל אביב
14,אושר עד,25,6,1,ראשון לציון,אצל 26,ראשון לציון
15,אושר עד,26,5,1,תלפיות,פייר קניג 26 קניון הדר,ירושלים
16,אושר עד,28,3,1,שמגר,שמגר 16,ירושלים
17,אושר עד,30,8,1,חיפה,דרך בר יהודה 31,חיפה
